#Title: The Algol System SZ Herculis: Physical Nature and Orbital Behavior 
#Authors: Lee J.W., Lee C.-U., Kim S.-L., Kim H.-I., Park J.-H. 
#Table: CCD Photometric Observations of SZ Her
#================================================================================
#Byte-by-byte Description of file: aj413575t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units Label    Explanations
#--------------------------------------------------------------------------------
#   1- 13 F13.5  d     HJD-B    ? B band Heliocentric Julian Date observations
#  15- 20 F6.3   mag   DelBmag  ? Differential B band magnitude
#  22- 34 F13.5  d     HJD-V    ? V band Heliocentric Julian Date observations
#  36- 41 F6.3   mag   DelVmag  ? Differential V band magnitude
#  43- 55 F13.5  d     HJD-R    R band Heliocentric Julian Date observations
#  57- 62 F6.3   mag   DelRmag  Differential R band magnitude
#  64- 76 F13.5  d     HJD-I    ? I band Heliocentric Julian Date observations
#  78- 83 F6.3   mag   DelImag  ? Differential I band magnitude
#--------------------------------------------------------------------------------
2454584.31918 -0.564 2454584.32209  0.041 2454584.32112  0.372 2454586.31365  0.679
2454584.32332 -0.563 2454584.32622  0.034 2454584.32531  0.385 2454587.25734  0.748
2454584.32733 -0.558 2454586.26231  0.043 2454586.26334  0.389 2454587.30434  1.086
2454586.26555 -0.552 2454586.26690  0.049 2454586.26793  0.390 2454587.32097  1.369
2454586.27007 -0.548 2454586.27135  0.048 2454586.27232  0.395 2454588.11736  1.039
2454586.27432 -0.556 2454586.27547  0.060 2454586.28046  0.394 2454588.12629  1.164
2454586.27840 -0.542 2454586.27954  0.059 2454586.28452  0.385 2454588.13077  1.231
2454586.28246 -0.549 2454586.28360  0.055 2454586.28858  0.389 2454588.13524  1.305
2454586.28652 -0.551 2454586.28767  0.047 2454586.29264  0.392 2454588.13970  1.407
2454586.29058 -0.553 2454586.29173  0.050 2454586.29672  0.390 2454588.14412  1.511
2454586.29465 -0.556 2454586.29580  0.043 2454586.30078  0.393 2454588.14855  1.619
2454586.29872 -0.562 2454586.29987  0.050 2454586.30479  0.389 2454588.15289  1.740
2454586.30275 -0.560 2454586.30387  0.050 2454586.30879  0.387 2454588.15722  1.873
2454586.30676 -0.554 2454586.30788  0.047 2454586.31280  0.385 2454588.16154  1.999
2454586.31076 -0.550 2454586.31188  0.045 2454587.25602  0.427 2454588.16587  2.123
2454587.25293 -0.498 2454587.25459  0.088 2454587.29741  0.712 2454588.17020  2.119
2454587.25907 -0.493 2454587.28963  0.279 2454587.30325  0.772 2454588.17472  2.010
2454587.28796 -0.321 2454587.29609  0.352 2454587.31994  1.101 2454588.17925  1.856
2454587.29434 -0.263 2454587.30195  0.434 2454588.11651  0.728 2454588.18378  1.733
2454587.30019 -0.175 2454587.30768  0.547 2454588.12089  0.784 2454588.18830  1.601
2454587.30592 -0.071 2454588.11554  0.386 2454588.12541  0.858 2454588.19276  1.489
2454587.31166  0.045 2454588.11986  0.456 2454588.12989  0.943 2454588.19709  1.377
2454587.31717  0.173 2454588.12441  0.523 2454588.13437  1.024 2454588.20859  1.170
2454588.11427 -0.212 2454588.12889  0.619 2454588.13883  1.149 2454588.21287  1.100
2454588.11857 -0.146 2454588.13337  0.713 2454588.14325  1.248 2454588.21709  1.055
2454588.12307 -0.075 2454588.13783  0.807 2454588.14767  1.385 2454588.22119  0.996
2454588.12755  0.013 2454588.14226  0.931 2454588.15204  1.525 2454588.22938  0.919
2454588.13203  0.115 2454588.14668  1.081 2454588.15637  1.680 2454588.23348  0.883
2454588.13649  0.228 2454588.15109  1.242 2454588.16503  1.959 2454588.23750  0.841
2454588.14095  0.368 2454588.15543  1.414 2454588.16936  1.991 2454588.24150  0.803
2454588.14537  0.514 2454588.15976  1.592 2454588.17384  1.880 2454588.24549  0.793
2454588.14980  0.689 2454588.16408  1.778 2454588.17838  1.706 2454588.24942  0.779
2454588.15414  0.883 2454588.16841  1.828 2454588.18290  1.546 2454588.25333  0.777
2454588.15847  1.106 2454588.17287  1.726 2454588.18743  1.403 2454588.25724  0.758
2454588.16279  1.339 2454588.18193  1.353 2454588.19192  1.270 2454588.26107  0.749
2454588.16712  1.480 2454588.18646  1.181 2454588.19624  1.160 2454588.26479  0.758
2454588.17151  1.399 2454588.19097  1.023 2454588.20058  1.052 2454588.26849  0.765
2454588.17605  1.170 2454588.19533  0.889 2454588.20775  0.911 2454588.27221  0.750
2454588.18057  0.939 2454588.19967  0.767 2454588.21202  0.854 2454588.27591  0.743
2454588.18510  0.733 2454588.21111  0.533 2454588.21625  0.777 2454588.27962  0.746
2454588.18962  0.552 2454588.21532  0.457 2454588.22034  0.715 2454588.28333  0.750
2454588.19404  0.390 2454588.21943  0.399 2454588.22444  0.671 2454588.28703  0.741
2454588.19837  0.257 2454588.22353  0.343 2454588.22854  0.622 2454588.29075  0.735
2454588.20554  0.078 2454588.22762  0.295 2454588.23263  0.579 2454588.29447  0.753
2454588.20984 -0.017 2454588.23172  0.254 2454588.23666  0.547 2454588.29817  0.733
2454588.21409 -0.101 2454588.23575  0.215 2454588.24066  0.526 2454588.30559  0.732
2454588.21825 -0.175 2454588.23976  0.187 2454588.24467  0.493 2454588.30929  0.726
2454588.22235 -0.241 2454588.24377  0.159 2454588.24860  0.478 2454588.31301  0.737
2454588.22645 -0.295 2454588.24770  0.139 2454588.25251  0.480 2454588.31672  0.726
2454588.23055 -0.346 2454588.25162  0.132 2454588.25642  0.450 2454589.28617  0.715
2454588.23461 -0.379 2454588.25553  0.119 2454588.26024  0.460 2454589.29043  0.712
2454588.23863 -0.408 2454588.25937  0.116 2454588.26397  0.454 2454589.29451  0.706
2454588.24264 -0.443 2454588.26308  0.117 2454588.26767  0.447 2454589.29833  0.718
2454588.24659 -0.464 2454588.26680  0.111 2454588.27139  0.449 2454589.30216  0.710
2454588.25051 -0.477 2454588.27050  0.104 2454588.27509  0.448 2454589.30598  0.716
2454588.25442 -0.476 2454588.27422  0.105 2454588.27879  0.442 2454589.30980  0.723
2454588.25831 -0.491 2454588.27792  0.101 2454588.28251  0.443 2454589.31386  0.718
2454588.26580 -0.503 2454588.28162  0.096 2454588.28621  0.445 2454589.31796  0.719
2454588.26950 -0.501 2454588.28534  0.104 2454588.28992  0.431 2454592.10682  0.720
2454588.27321 -0.505 2454588.28904  0.094 2454588.29364  0.440 2454592.11179  0.717
2454588.27692 -0.500 2454588.29647  0.091 2454588.29735  0.434 2454592.11675  0.726
2454588.28062 -0.506 2454588.30018  0.092 2454588.30105  0.425 2454592.12171  0.725
2454588.28434 -0.505 2454588.30389  0.091 2454588.30477  0.433 2454592.12643  0.723
2454588.28804 -0.504 2454588.30760  0.082 2454588.30847  0.428 2454592.13617  0.734
2454588.29176 -0.514 2454588.31131  0.077 2454588.31219  0.420 2454592.14089  0.739
2454588.29547 -0.510 2454588.31502  0.079 2454588.31589  0.430 2454592.14560  0.743
2454588.29918 -0.514 2454589.29223  0.066 2454589.29128  0.407 2454592.15031  0.735
2454588.30289 -0.513 2454589.29620  0.072 2454589.29534  0.399 2454592.15501  0.732
2454588.30660 -0.516 2454589.30002  0.073 2454589.29916  0.408 2454592.15965  0.756
2454588.31030 -0.515 2454589.30385  0.068 2454589.30299  0.415 2454592.16421  0.737
2454588.31401 -0.525 2454589.30767  0.064 2454589.30681  0.409 2454592.16873  0.737
2454589.28931 -0.526 2454589.31157  0.072 2454589.31063  0.414 2454592.17326  0.754
2454589.29340 -0.531 2454589.31567  0.080 2454589.31472  0.419 2454592.17778  0.770
2454589.29726 -0.522 2454589.31975  0.087 2454589.31880  0.430 2454592.18230  0.790
2454589.30108 -0.523 2454592.10470  0.073 2454592.10585  0.412 2454592.18682  0.816
2454589.30491 -0.520 2454592.10969  0.069 2454592.11084  0.407 2454592.19135  0.853
2454589.30873 -0.527 2454592.11465  0.070 2454592.11579  0.413 2454592.19587  0.885
2454589.31274 -0.508 2454592.11961  0.071 2454592.12076  0.410 2454592.20040  0.926
2454589.31683 -0.518 2454592.12439  0.079 2454592.12548  0.417 2454592.20493  0.972
2454589.32092 -0.519 2454592.12911  0.080 2454592.13020  0.422 2454592.20945  1.039
2454592.10321 -0.517 2454592.13411  0.078 2454592.13521  0.423 2454592.21398  1.101
2454592.10820 -0.516 2454592.13885  0.086 2454592.13994  0.431 2454592.21850  1.169
2454592.11316 -0.527 2454592.14356  0.081 2454592.14465  0.425 2454592.22302  1.246
2454592.11812 -0.518 2454592.14828  0.089 2454592.14937  0.430 2454592.22754  1.322
2454592.12301 -0.519 2454592.15298  0.090 2454592.15407  0.441 2454592.23227  1.443
2454592.12774 -0.514 2454592.15765  0.094 2454592.15871  0.442 2454592.23703  1.558
2454592.13274 -0.512 2454592.16229  0.096 2454592.16332  0.441 2454592.24180  1.681
2454592.13747 -0.511 2454592.16682  0.097 2454592.16785  0.438 2454592.24656  1.836
2454592.14219 -0.511 2454592.17134  0.102 2454592.17237  0.453 2454592.25132  1.996
2454592.14691 -0.500 2454592.17587  0.121 2454592.17690  0.460 2454592.25608  2.111
2454592.15161 -0.499 2454592.18038  0.140 2454592.18141  0.490 2454592.26084  2.108
2454592.16094 -0.506 2454592.18491  0.164 2454592.18594  0.507 2454592.26559  1.976
2454592.16547 -0.500 2454592.18943  0.196 2454592.19046  0.546 2454592.27036  1.814
2454592.16999 -0.496 2454592.19396  0.235 2454592.19499  0.580 2454592.27513  1.687
2454592.17452 -0.485 2454592.19848  0.282 2454592.19951  0.630 2454592.27989  1.554
2454592.17905 -0.471 2454592.20301  0.335 2454592.20403  0.670 2454592.28464  1.440
2454592.18357 -0.445 2454592.20754  0.397 2454592.20857  0.739 2454592.28941  1.341
2454592.18809 -0.417 2454592.21206  0.464 2454592.21309  0.808 2454592.29419  1.249
2454592.19261 -0.380 2454592.21659  0.547 2454592.21762  0.880 2454592.29895  1.171
2454592.19714 -0.333 2454592.22111  0.634 2454592.22213  0.969 2454592.30371  1.103
2454592.20166 -0.279 2454592.22563  0.736 2454592.22666  1.061 2454592.30847  1.040
